Ticker,Date,Open,High,Low,Close,Adjusted_close,Adjusted_low,Adjusted_high,Adjusted_open,Volume
NVDA.US  ,5/14/2015 12:00:00 AM,21.01,21.4,20.96,21.29,0.5129,0.5049499295443871,0.5155500234852043,0.5061544856740254,293051197
NVDA.US  ,5/15/2015 12:00:00 AM,21.38,21.48,21.17,21.3,0.5131,0.5099684037558686,0.5174360563380281,0.5150271361502347,215824758
NVDA.US  ,5/18/2015 12:00:00 AM,21.25,21.4,21.15,21.27,0.5124,0.5095091678420309,0.5155317348377997,0.5119181946403385,324971677
NVDA.US  ,5/19/2015 12:00:00 AM,21.2,21.27,21,21.04,0.5092,0.5082319391634981,0.5147663498098859,0.5130722433460075,253808877
NVDA.US  ,5/20/2015 12:00:00 AM,21.05,21.3,21.02,21.04,0.5092,0.508715969581749,0.5154923954372623,0.5094420152091255,196823238
NVDA.US  ,5/21/2015 12:00:00 AM,21.05,21.14,20.87,20.89,0.5056,0.5051159406414553,0.5116507419818095,0.5094724748683581,239689998
NVDA.US  ,5/22/2015 12:00:00 AM,20.94,21.015,20.81,20.86,0.5048,0.5035900287631832,0.5085509108341324,0.5067359539789071,212611278
NVDA.US  ,5/26/2015 12:00:00 AM,20.76,20.9,20.574,20.73,0.5017,0.49792454413892917,0.5058142788229619,0.5024260492040522,259731077
NVDA.US  ,5/27/2015 12:00:00 AM,20.87,21.935,20.8,21.84,0.5286,0.5034285714285714,0.5308993131868132,0.5051228021978021,432330796
NVDA.US  ,5/28/2015 12:00:00 AM,21.84,22.214,21.8,22.14,0.5358,0.5275718157181573,0.5375908401084011,0.528539837398374,327657277
NVDA.US  ,5/29/2015 12:00:00 AM,22.14,22.28,22.1,22.13,0.5356,0.5348739267962043,0.5392303660189788,0.5358420244012653,335169757
NVDA.US  ,6/1/2015 12:00:00 AM,22.27,22.6,22.13,22.38,0.5416,0.5355499553172475,0.5469240393208221,0.5389379803395888,372660156
NVDA.US  ,6/2/2015 12:00:00 AM,22.24,22.36,21.92,21.935,0.5309,0.5305369500797813,0.5411864144062002,0.5382820150444495,224303278
NVDA.US  ,6/3/2015 12:00:00 AM,22,22.17,21.66,21.7,0.5252,0.5242318894009217,0.5365752995391706,0.5324608294930876,250787677
NVDA.US  ,6/4/2015 12:00:00 AM,21.57,22.16,21.57,22.09,0.5346,0.5220154821186057,0.5362940697148031,0.5220154821186057,323710597
NVDA.US  ,6/5/2015 12:00:00 AM,22.02,22.36,21.79,22.26,0.5387,0.5273258310871518,0.5411200359389038,0.5328919137466307,313320037
NVDA.US  ,6/8/2015 12:00:00 AM,22.19,22.34,21.5,21.75,0.5264,0.5203494252873563,0.540679356321839,0.5370490114942529,342812037
